ID,Fraction_ID,Envelope_num,Mass,MonoMz,Charge,Intensity,mzLo,mzHi,rtLo,rtHi,color,opacity,promex_score
12,0,12,9838.2,820.858,12,3.44E+09,820.841,822.044,97.4877,98.4097,#FF0000,0.1,53.1414
12,0,13,9838.2,757.792,13,5.10E+09,757.769,758.895,97.4142,98.3965,#FF0000,0.1,53.1414
12,0,7,9838.2,703.736,14,2.92E+09,703.708,704.767,98.2857,98.3965,#FF0000,0.1,53.1414
12,0,6,9838.2,656.888,15,8.74E+08,656.854,657.856,98.2857,98.3815,#FF0000,0.1,53.1414
12,0,2,9838.2,615.895,16,8.31E+07,615.858,616.81,98.3072,98.3295,#FF0000,0.1,53.1414
13,0,22,450.248,451.255,1,9.36E+09,451.155,453.361,99.569,99.6578,#FF0000,0.1,-339.146
14,0,15,1253.81,627.911,2,3.39E+08,627.811,629.515,10.4468,10.6897,#FF0000,0.1,46.5628
14,0,20,1253.81,418.943,3,7.32E+09,418.843,420.046,10.4145,10.7775,#FF0000,0.1,46.5628
14,0,20,1253.81,314.459,4,5.81E+09,314.359,315.311,10.4305,10.8863,#FF0000,0.1,46.5628
15,0,5,464.264,465.271,1,1.50E+09,465.171,467.376,99.1227,99.3405,#FF0000,0.1,-339.146
16,0,1,2364.54,395.097,6,1.28E+09,394.997,396.033,9.927,9.927,#FF0000,0.1,-1099.56
17,0,3,3087.45,344.057,9,1.19E+09,343.957,344.825,99.9357,99.9445,#FF0000,0.1,-1010.43
18,0,8,342.288,343.296,1,3.37E+09,343.196,344.399,99.8865,99.9265,#FF0000,0.1,-339.146
19,0,3,8445.59,1408.61,6,1.35E+08,1408.51,1410.71,98.4487,98.4778,#FF0000,0.1,52.0643
19,0,8,8445.59,1207.52,7,9.03E+08,1207.42,1209.34,98.4388,98.488,#FF0000,0.1,52.0643
19,0,9,8445.59,1056.71,8,1.04E+09,1056.61,1058.31,98.4388,98.5265,#FF0000,0.1,52.0643
19,0,12,8445.59,939.406,9,1.84E+09,939.306,940.842,98.4388,98.6938,#FF0000,0.1,52.0643
